robot,baseline,uid,family,cr_completion_fraction,baseline_completion_fraction,change,stable_all_vs_none
panda,ranged_ik_upstream,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,1.0,0.0,gained,True
panda,ranged_ik_upstream,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,1.0,0.0,gained,True
panda,ranged_ik_upstream,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,1.0,0.0,gained,True
panda,ranged_ik_upstream,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,0.3333333333333333,0.0,gained,False
panda,ranged_ik_upstream,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,1.0,0.0,gained,True
panda,ranged_ik_upstream,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,0.0,0.0,same,False
panda,ranged_ik_upstream,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,1.0,0.0,gained,True
panda,ranged_ik_upstream,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,1.0,0.0,gained,True
panda,ranged_ik_upstream,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,1.0,0.0,gained,True
panda,ranged_ik_upstream,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,1.0,0.0,gained,True
panda,ranged_ik_upstream,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,1.0,0.0,gained,True
panda,single_step_reserve,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,1.0,1.0,same,False
panda,single_step_reserve,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,1.0,0.6666666666666666,gained,False
panda,single_step_reserve,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,1.0,1.0,same,False
panda,single_step_reserve,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,1.0,0.6666666666666666,gained,False
panda,single_step_reserve,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,0.0,0.0,same,False
panda,single_step_reserve,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,1.0,0.3333333333333333,gained,False
panda,single_step_reserve,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,1.0,0.0,gained,True
panda,single_step_reserve,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,1.0,0.6666666666666666,gained,False
panda,single_step_reserve,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,1.0,1.0,same,False
panda,single_step_reserve,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,1.0,1.0,same,False
panda,single_step_reserve,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,1.0,0.0,gained,True
panda,single_step_reserve,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,1.0,0.0,gained,True
panda,single_step_reserve,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,1.0,1.0,same,False
panda,single_step_reserve,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,1.0,1.0,same,False
panda,single_step_reserve,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,1.0,1.0,same,False
panda,single_step_reserve,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,1.0,1.0,same,False
panda,single_step_reserve,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,1.0,1.0,same,False
panda,single_step_reserve,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,0.3333333333333333,0.0,gained,False
panda,single_step_reserve,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,1.0,0.0,gained,True
panda,single_step_reserve,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,1.0,1.0,same,False
panda,single_step_reserve,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,0.0,0.0,same,False
panda,single_step_reserve,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,1.0,1.0,same,False
panda,single_step_reserve,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,1.0,0.3333333333333333,gained,False
panda,single_step_reserve,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,1.0,1.0,same,False
panda,single_step_reserve,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,1.0,0.0,gained,True
panda,single_step_reserve,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,1.0,1.0,same,False
panda,single_step_reserve,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,1.0,1.0,same,False
panda,single_step_reserve,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,1.0,1.0,same,False
panda,trac_task_20ms,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,1.0,1.0,same,False
panda,trac_task_20ms,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,1.0,1.0,same,False
panda,trac_task_20ms,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,1.0,1.0,same,False
panda,trac_task_20ms,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,0.0,0.0,same,False
panda,trac_task_20ms,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,1.0,1.0,same,False
panda,trac_task_20ms,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,1.0,1.0,same,False
panda,trac_task_20ms,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,1.0,1.0,same,False
panda,trac_task_20ms,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,1.0,1.0,same,False
panda,trac_task_20ms,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,1.0,1.0,same,False
panda,trac_task_20ms,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,1.0,1.0,same,False
panda,trac_task_20ms,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,1.0,1.0,same,False
panda,trac_task_20ms,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,1.0,1.0,same,False
panda,trac_task_20ms,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,0.3333333333333333,0.3333333333333333,same,False
panda,trac_task_20ms,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,1.0,1.0,same,False
panda,trac_task_20ms,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1.0,1.0,same,False
panda,trac_task_20ms,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1.0,1.0,same,False
